time(s)	origin signal	filtered signal
0.526	1.27836		0.317089
0.527	1.26169		0.608971
0.528	1.00257		0.824235
0.529	0.341334		0.946329
0.53	-0.336864		0.974624
0.531	-0.811219		0.918474
0.532	-1.00087		0.789728
0.533	-0.976269		0.598049
0.534	-0.740413		0.351394
0.535	-0.558883		0.061264
0.536	-0.484209		-0.251744
0.537	-0.629522		-0.555495
0.538	-0.761418		-0.810092
0.539	-0.741696		-0.977138
0.54	-0.481398		-1.03046
0.541	0.0865871		-0.964011
0.542	0.701783		-0.792769
0.543	1.26475		-0.546907
0.544	1.45142		-0.261601
0.545	1.26385		0.0320276
0.546	0.933336		0.311587
0.547	0.461361		0.56191
0.548	0.0779424		0.769821
0.549	0.0154891		0.919163
0.55	-0.0314692		0.990205
0.551	0.0728284		0.964055
0.552	-0.0813269		0.831235
0.553	-0.429554		0.598857
0.554	-0.875656		0.293141
0.555	-1.27304		-0.0450987
0.556	-1.48724		-0.370369
0.557	-1.25262		-0.643738
0.558	-0.73611		-0.840374
0.559	-0.0773766		-0.950981
0.56	0.51506		-0.977123
0.561	0.78245		-0.924387
0.562	0.794692		-0.797374
0.563	0.66456		-0.599479
0.564	0.488		-0.337488
0.565	0.514213		-0.0276604
0.566	0.750566		0.300827
0.567	0.914222		0.60828
0.568	0.99876		0.852634
0.569	0.807218		1.0003
0.57	0.279248		1.03489
0.571	-0.348314		0.960048
0.572	-0.948507		0.795264
0.573	-1.28439		0.567347
0.574	-1.26939		0.301817
0.575	-1.03607		0.0184416
0.576	-0.638766		-0.267527
0.577	-0.332744		-0.540165
0.578	-0.184485		-0.777927
0.579	-0.205237		-0.952722
0.58	-0.307109		-1.03519
0.581	-0.180361		-1.00393
0.582	0.126559		-0.854536
0.583	0.725416		-0.60418
0.584	1.16224		-0.288547
0.585	1.47732		0.0474021
0.586	1.41895		0.361253
0.587	0.986931		0.622168
0.588	0.422487		0.813737
0.589	-0.184354		0.930712
0.59	-0.517572		0.972232
0.591	-0.592316		0.936452
0.592	-0.51066		0.819794
0.593	-0.401345		0.6213
0.594	-0.47919		0.349648
0.595	-0.686379		0.027997
0.596	-1.04946		-0.306489
0.597	-1.20479		-0.609595
0.598	-1.13001		-0.840844
0.599	-0.633716		-0.973547
0.6	0.0224937		-0.999525
